Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,-5.046311054044148
75% Corpus,2,0.01,0.31,-5.406756353381198
75% Corpus,2,0.01,0.61,-5.121435097357718
75% Corpus,2,0.01,0.9099999999999999,-5.345442772460592
75% Corpus,2,0.01,symmetric,-5.506400159342721
75% Corpus,2,0.31,0.01,-5.221714139150415
75% Corpus,2,0.31,0.31,-5.37911667575573
75% Corpus,2,0.31,0.61,-5.378894380118965
75% Corpus,2,0.31,0.9099999999999999,-5.808687047127788
75% Corpus,2,0.31,symmetric,-5.306919446938373
75% Corpus,2,0.61,0.01,-5.6183022784505825
75% Corpus,2,0.61,0.31,-5.240233257591811
75% Corpus,2,0.61,0.61,-5.422454139992599
75% Corpus,2,0.61,0.9099999999999999,-5.546895447552538
75% Corpus,2,0.61,symmetric,-5.283512910928704
75% Corpus,2,0.9099999999999999,0.01,-5.586386414152932
75% Corpus,2,0.9099999999999999,0.31,-5.502917096669821
75% Corpus,2,0.9099999999999999,0.61,-5.675961711480782
75% Corpus,2,0.9099999999999999,0.9099999999999999,-5.557700084471013
75% Corpus,2,0.9099999999999999,symmetric,-5.602815979198709
75% Corpus,2,symmetric,0.01,-5.5553223890189205
75% Corpus,2,symmetric,0.31,-5.279589353306394
75% Corpus,2,symmetric,0.61,-5.516916919696545
75% Corpus,2,symmetric,0.9099999999999999,-5.322407745733245
75% Corpus,2,symmetric,symmetric,-5.498579291414675
75% Corpus,2,asymmetric,0.01,-5.39947497442475
75% Corpus,2,asymmetric,0.31,-5.741133247472113
75% Corpus,2,asymmetric,0.61,-6.128711408062614
75% Corpus,2,asymmetric,0.9099999999999999,-6.844253268514401
75% Corpus,2,asymmetric,symmetric,-6.128645203072677
75% Corpus,3,0.01,0.01,-5.699966032476133
75% Corpus,3,0.01,0.31,-5.322773583658175
75% Corpus,3,0.01,0.61,-5.517158224412921
75% Corpus,3,0.01,0.9099999999999999,-5.0685292018905095
75% Corpus,3,0.01,symmetric,-5.481569836196058
75% Corpus,3,0.31,0.01,-5.9252784414827735
75% Corpus,3,0.31,0.31,-5.406382558870334
75% Corpus,3,0.31,0.61,-5.1562850379047465
75% Corpus,3,0.31,0.9099999999999999,-5.87461686564729
75% Corpus,3,0.31,symmetric,-5.7132598026847345
75% Corpus,3,0.61,0.01,-5.4374096543143615
75% Corpus,3,0.61,0.31,-5.4067506568778
75% Corpus,3,0.61,0.61,-5.7228141335404485
75% Corpus,3,0.61,0.9099999999999999,-5.145822248895996
75% Corpus,3,0.61,symmetric,-5.3555984086036545
75% Corpus,3,0.9099999999999999,0.01,-5.9577024088757895
75% Corpus,3,0.9099999999999999,0.31,-5.982693995551742
75% Corpus,3,0.9099999999999999,0.61,-5.792224295043094
75% Corpus,3,0.9099999999999999,0.9099999999999999,-5.397293149794902
75% Corpus,3,0.9099999999999999,symmetric,-5.4828223528392295
75% Corpus,3,symmetric,0.01,-5.7450981438139195
75% Corpus,3,symmetric,0.31,-5.858937863366862
75% Corpus,3,symmetric,0.61,-5.402390281214491
75% Corpus,3,symmetric,0.9099999999999999,-5.47413332765974
75% Corpus,3,symmetric,symmetric,-5.5381704571766095
75% Corpus,3,asymmetric,0.01,-5.487340735125795
75% Corpus,3,asymmetric,0.31,-7.147682891871845
75% Corpus,3,asymmetric,0.61,-8.337583019555394
75% Corpus,3,asymmetric,0.9099999999999999,-9.433225574385945
75% Corpus,3,asymmetric,symmetric,-7.829922002757989
75% Corpus,4,0.01,0.01,-5.832819078912681
75% Corpus,4,0.01,0.31,-6.295553635879992
75% Corpus,4,0.01,0.61,-5.890025675787316
75% Corpus,4,0.01,0.9099999999999999,-6.104026079265517
75% Corpus,4,0.01,symmetric,-6.044511534267554
75% Corpus,4,0.31,0.01,-5.95254819056784
75% Corpus,4,0.31,0.31,-6.209324872456982
75% Corpus,4,0.31,0.61,-5.83776119860477
75% Corpus,4,0.31,0.9099999999999999,-6.421797091582315
75% Corpus,4,0.31,symmetric,-6.149769491448878
75% Corpus,4,0.61,0.01,-6.253103778585056
75% Corpus,4,0.61,0.31,-5.576599319627546
75% Corpus,4,0.61,0.61,-6.078753855122011
75% Corpus,4,0.61,0.9099999999999999,-5.491091283065408
75% Corpus,4,0.61,symmetric,-5.842956485558043
75% Corpus,4,0.9099999999999999,0.01,-5.754843674489733
75% Corpus,4,0.9099999999999999,0.31,-5.67415671510069
75% Corpus,4,0.9099999999999999,0.61,-5.712084643970359
75% Corpus,4,0.9099999999999999,0.9099999999999999,-5.459916478053437
75% Corpus,4,0.9099999999999999,symmetric,-5.838467131361116
75% Corpus,4,symmetric,0.01,-5.232487997854649
75% Corpus,4,symmetric,0.31,-6.296026756598045
75% Corpus,4,symmetric,0.61,-6.480549833833483
75% Corpus,4,symmetric,0.9099999999999999,-5.958449201128915
75% Corpus,4,symmetric,symmetric,-6.041397431355371
75% Corpus,4,asymmetric,0.01,-6.819496581856814
75% Corpus,4,asymmetric,0.31,-9.641383031348713
75% Corpus,4,asymmetric,0.61,-9.510955260897852
75% Corpus,4,asymmetric,0.9099999999999999,-9.596620800716012
75% Corpus,4,asymmetric,symmetric,-8.522412061328644
75% Corpus,5,0.01,0.01,-6.66644822737455
75% Corpus,5,0.01,0.31,-6.606675854219125
75% Corpus,5,0.01,0.61,-6.380902350059981
75% Corpus,5,0.01,0.9099999999999999,-6.0661413268961395
75% Corpus,5,0.01,symmetric,-5.879830135925409
75% Corpus,5,0.31,0.01,-5.946217767425823
75% Corpus,5,0.31,0.31,-6.632404222799657
75% Corpus,5,0.31,0.61,-6.2965410318266075
75% Corpus,5,0.31,0.9099999999999999,-6.215871433537174
75% Corpus,5,0.31,symmetric,-6.091001621286518
75% Corpus,5,0.61,0.01,-6.296664395098684
75% Corpus,5,0.61,0.31,-6.0075090688610215
75% Corpus,5,0.61,0.61,-6.1181572353186295
75% Corpus,5,0.61,0.9099999999999999,-6.18830111724186
75% Corpus,5,0.61,symmetric,-6.3911842299425405
75% Corpus,5,0.9099999999999999,0.01,-5.816780972233924
75% Corpus,5,0.9099999999999999,0.31,-5.720321188020163
75% Corpus,5,0.9099999999999999,0.61,-5.484650000365341
75% Corpus,5,0.9099999999999999,0.9099999999999999,-5.495271527990726
75% Corpus,5,0.9099999999999999,symmetric,-5.956232938960443
75% Corpus,5,symmetric,0.01,-6.6087193741606765
75% Corpus,5,symmetric,0.31,-7.098845161465485
75% Corpus,5,symmetric,0.61,-6.688095173410657
75% Corpus,5,symmetric,0.9099999999999999,-6.574137912495919
75% Corpus,5,symmetric,symmetric,-6.374254089664118
75% Corpus,5,asymmetric,0.01,-7.6218812589605935
75% Corpus,5,asymmetric,0.31,-10.978630651882344
75% Corpus,5,asymmetric,0.61,-9.373332880305114
75% Corpus,5,asymmetric,0.9099999999999999,-11.795774023085096
75% Corpus,5,asymmetric,symmetric,-10.16808286916395
75% Corpus,6,0.01,0.01,-6.91658018186853
75% Corpus,6,0.01,0.31,-6.5927664062333315
75% Corpus,6,0.01,0.61,-6.93982391828346
75% Corpus,6,0.01,0.9099999999999999,-6.483611953195386
75% Corpus,6,0.01,symmetric,-7.054431194991383
75% Corpus,6,0.31,0.01,-6.497014801249051
75% Corpus,6,0.31,0.31,-6.781079965931233
75% Corpus,6,0.31,0.61,-6.662648462865932
75% Corpus,6,0.31,0.9099999999999999,-6.870780252517096
75% Corpus,6,0.31,symmetric,-6.615994120486346
75% Corpus,6,0.61,0.01,-6.570813368555689
75% Corpus,6,0.61,0.31,-6.6130081236109275
75% Corpus,6,0.61,0.61,-6.178037469218751
75% Corpus,6,0.61,0.9099999999999999,-5.608190674564669
75% Corpus,6,0.61,symmetric,-6.232583887326615
75% Corpus,6,0.9099999999999999,0.01,-5.871834755446237
75% Corpus,6,0.9099999999999999,0.31,-5.535252869922659
75% Corpus,6,0.9099999999999999,0.61,-5.5398416386233285
75% Corpus,6,0.9099999999999999,0.9099999999999999,-5.5405931793361525
75% Corpus,6,0.9099999999999999,symmetric,-5.885586961789507
75% Corpus,6,symmetric,0.01,-7.482290265340057
75% Corpus,6,symmetric,0.31,-6.295721525298132
75% Corpus,6,symmetric,0.61,-7.384293349778354
75% Corpus,6,symmetric,0.9099999999999999,-6.983073537016498
75% Corpus,6,symmetric,symmetric,-7.393815491245641
75% Corpus,6,asymmetric,0.01,-7.528783184287026
75% Corpus,6,asymmetric,0.31,-9.611142101238414
75% Corpus,6,asymmetric,0.61,-10.836294414658958
75% Corpus,6,asymmetric,0.9099999999999999,-11.109945574712983
75% Corpus,6,asymmetric,symmetric,-9.464303203345532
75% Corpus,7,0.01,0.01,-7.042935376185917
75% Corpus,7,0.01,0.31,-7.052663043078019
75% Corpus,7,0.01,0.61,-6.592519294934332
75% Corpus,7,0.01,0.9099999999999999,-6.732762040714907
75% Corpus,7,0.01,symmetric,-7.206526509075276
75% Corpus,7,0.31,0.01,-6.375896063085245
75% Corpus,7,0.31,0.31,-6.821533816703391
75% Corpus,7,0.31,0.61,-7.02762575403964
75% Corpus,7,0.31,0.9099999999999999,-7.231456728044406
75% Corpus,7,0.31,symmetric,-6.5390183688057375
75% Corpus,7,0.61,0.01,-6.553108190028871
75% Corpus,7,0.61,0.31,-6.634879509793852
75% Corpus,7,0.61,0.61,-6.093812374000929
75% Corpus,7,0.61,0.9099999999999999,-5.8233080553811325
75% Corpus,7,0.61,symmetric,-6.89098402851408
75% Corpus,7,0.9099999999999999,0.01,-5.8913561210589975
75% Corpus,7,0.9099999999999999,0.31,-5.8711841577534445
75% Corpus,7,0.9099999999999999,0.61,-5.5334735111905715
75% Corpus,7,0.9099999999999999,0.9099999999999999,-5.517679705343867
75% Corpus,7,0.9099999999999999,symmetric,-5.724982833317767
75% Corpus,7,symmetric,0.01,-7.092690140803201
75% Corpus,7,symmetric,0.31,-6.8911536709767045
75% Corpus,7,symmetric,0.61,-7.340801905158445
75% Corpus,7,symmetric,0.9099999999999999,-6.837526662140172
75% Corpus,7,symmetric,symmetric,-7.166682440537687
75% Corpus,7,asymmetric,0.01,-6.740902581519563
75% Corpus,7,asymmetric,0.31,-11.483770579290233
75% Corpus,7,asymmetric,0.61,-11.935005823189142
75% Corpus,7,asymmetric,0.9099999999999999,-11.830932255142788
75% Corpus,7,asymmetric,symmetric,-10.07124892880222
75% Corpus,8,0.01,0.01,-7.307771722365805
75% Corpus,8,0.01,0.31,-7.508995199809167
75% Corpus,8,0.01,0.61,-7.329831898035915
75% Corpus,8,0.01,0.9099999999999999,-7.350523462112269
75% Corpus,8,0.01,symmetric,-7.451405638846142
75% Corpus,8,0.31,0.01,-6.478300509887325
75% Corpus,8,0.31,0.31,-6.83932988894059
75% Corpus,8,0.31,0.61,-6.8306279293896655
75% Corpus,8,0.31,0.9099999999999999,-7.305451119533993
75% Corpus,8,0.31,symmetric,-7.207616846748928
75% Corpus,8,0.61,0.01,-6.940142404303302
75% Corpus,8,0.61,0.31,-6.325494953887562
75% Corpus,8,0.61,0.61,-5.885592176278365
75% Corpus,8,0.61,0.9099999999999999,-5.792601648631877
75% Corpus,8,0.61,symmetric,-6.770495551174115
75% Corpus,8,0.9099999999999999,0.01,-6.062586900290825
75% Corpus,8,0.9099999999999999,0.31,-5.540199521587615
75% Corpus,8,0.9099999999999999,0.61,-5.5177221779149885
75% Corpus,8,0.9099999999999999,0.9099999999999999,-5.512298446906267
75% Corpus,8,0.9099999999999999,symmetric,-5.827349478012897
75% Corpus,8,symmetric,0.01,-7.458484041997328
75% Corpus,8,symmetric,0.31,-7.589330952423531
75% Corpus,8,symmetric,0.61,-7.638469658746609
75% Corpus,8,symmetric,0.9099999999999999,-7.805131908797129
75% Corpus,8,symmetric,symmetric,-7.935105983059838
75% Corpus,8,asymmetric,0.01,-7.329679565397518
75% Corpus,8,asymmetric,0.31,-10.904447528925783
75% Corpus,8,asymmetric,0.61,-11.345114739407876
75% Corpus,8,asymmetric,0.9099999999999999,-11.200815340130362
75% Corpus,8,asymmetric,symmetric,-9.737261182435988
75% Corpus,9,0.01,0.01,-7.9689512963328
75% Corpus,9,0.01,0.31,-8.207278634549247
75% Corpus,9,0.01,0.61,-7.9206873589905875
75% Corpus,9,0.01,0.9099999999999999,-7.490067423197839
75% Corpus,9,0.01,symmetric,-8.124919783676894
75% Corpus,9,0.31,0.01,-6.662639849148929
75% Corpus,9,0.31,0.31,-7.088166151493425
75% Corpus,9,0.31,0.61,-7.317540775028446
75% Corpus,9,0.31,0.9099999999999999,-6.69217307322239
75% Corpus,9,0.31,symmetric,-7.373875117666872
75% Corpus,9,0.61,0.01,-6.926008111588513
75% Corpus,9,0.61,0.31,-6.362629469434407
75% Corpus,9,0.61,0.61,-5.634268973010876
75% Corpus,9,0.61,0.9099999999999999,-5.531242672871192
75% Corpus,9,0.61,symmetric,-6.985214181017017
75% Corpus,9,0.9099999999999999,0.01,-6.02579393723536
75% Corpus,9,0.9099999999999999,0.31,-5.580561818651654
75% Corpus,9,0.9099999999999999,0.61,-5.520248661094163
75% Corpus,9,0.9099999999999999,0.9099999999999999,-5.513888546172316
75% Corpus,9,0.9099999999999999,symmetric,-5.659816785587744
75% Corpus,9,symmetric,0.01,-7.998575019095751
75% Corpus,9,symmetric,0.31,-8.173534858567361
75% Corpus,9,symmetric,0.61,-8.132604148963448
75% Corpus,9,symmetric,0.9099999999999999,-8.122982958940733
75% Corpus,9,symmetric,symmetric,-8.324966407303894
75% Corpus,9,asymmetric,0.01,-7.249115546755099
75% Corpus,9,asymmetric,0.31,-10.433210322777493
75% Corpus,9,asymmetric,0.61,-11.076221072166
75% Corpus,9,asymmetric,0.9099999999999999,-12.013195561676119
75% Corpus,9,asymmetric,symmetric,-9.914406772701843
75% Corpus,10,0.01,0.01,-8.221256794385896
75% Corpus,10,0.01,0.31,-8.395979043056965
75% Corpus,10,0.01,0.61,-7.5688944777280085
75% Corpus,10,0.01,0.9099999999999999,-7.768877904493982
75% Corpus,10,0.01,symmetric,-8.167866123210812
75% Corpus,10,0.31,0.01,-7.124029578157524
75% Corpus,10,0.31,0.31,-6.998945153027572
75% Corpus,10,0.31,0.61,-7.221538659241408
75% Corpus,10,0.31,0.9099999999999999,-7.075603871669007
75% Corpus,10,0.31,symmetric,-7.441270295189862
75% Corpus,10,0.61,0.01,-6.800548668152546
75% Corpus,10,0.61,0.31,-6.356474138650756
75% Corpus,10,0.61,0.61,-5.629809181508567
75% Corpus,10,0.61,0.9099999999999999,-5.594787982722367
75% Corpus,10,0.61,symmetric,-6.605540765276553
75% Corpus,10,0.9099999999999999,0.01,-5.958653413656046
75% Corpus,10,0.9099999999999999,0.31,-5.52872564393788
75% Corpus,10,0.9099999999999999,0.61,-5.513520989388919
75% Corpus,10,0.9099999999999999,0.9099999999999999,-5.497437605309114
75% Corpus,10,0.9099999999999999,symmetric,-5.812500912741973
75% Corpus,10,symmetric,0.01,-8.680859053798006
75% Corpus,10,symmetric,0.31,-8.825316550989967
75% Corpus,10,symmetric,0.61,-8.166896448027845
75% Corpus,10,symmetric,0.9099999999999999,-8.730141229941843
75% Corpus,10,symmetric,symmetric,-8.505122106104098
75% Corpus,10,asymmetric,0.01,-7.866838348792169
75% Corpus,10,asymmetric,0.31,-10.681302943820018
75% Corpus,10,asymmetric,0.61,-11.382346869315327
75% Corpus,10,asymmetric,0.9099999999999999,-11.331698335151106
75% Corpus,10,asymmetric,symmetric,-9.378196907979659
100% Corpus,2,0.01,0.01,-5.126960351091089
100% Corpus,2,0.01,0.31,-5.149171122514491
