Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.61,-5.7172427109234745
100% Corpus,2,0.01,0.9099999999999999,-4.963700418351284
100% Corpus,2,0.01,symmetric,-4.9273270486245995
100% Corpus,2,0.31,0.01,-5.193413450190443
100% Corpus,2,0.31,0.31,-5.387979095397522
100% Corpus,2,0.31,0.61,-4.9928876115622565
100% Corpus,2,0.31,0.9099999999999999,-5.250355615828912
100% Corpus,2,0.31,symmetric,-5.156915960910576
100% Corpus,2,0.61,0.01,-5.278674048603278
100% Corpus,2,0.61,0.31,-5.251657414476014
100% Corpus,2,0.61,0.61,-5.37882621242913
100% Corpus,2,0.61,0.9099999999999999,-5.254955288874669
100% Corpus,2,0.61,symmetric,-5.339255036251639
100% Corpus,2,0.9099999999999999,0.01,-5.336566246172882
100% Corpus,2,0.9099999999999999,0.31,-5.425630837383585
100% Corpus,2,0.9099999999999999,0.61,-5.253172269997535
100% Corpus,2,0.9099999999999999,0.9099999999999999,-5.36554071906371
100% Corpus,2,0.9099999999999999,symmetric,-5.160673616922347
100% Corpus,2,symmetric,0.01,-5.073421463055325
100% Corpus,2,symmetric,0.31,-5.602972199141615
100% Corpus,2,symmetric,0.61,-5.096548775901004
100% Corpus,2,symmetric,0.9099999999999999,-5.022381605822129
100% Corpus,2,symmetric,symmetric,-5.214454353095288
100% Corpus,2,asymmetric,0.01,-5.710044007148368
100% Corpus,2,asymmetric,0.31,-5.637322404625326
100% Corpus,2,asymmetric,0.61,-5.2994718879444624
100% Corpus,2,asymmetric,0.9099999999999999,-5.288446121434255
100% Corpus,2,asymmetric,symmetric,-5.482095894889678
100% Corpus,3,0.01,0.01,-5.339755658070575
100% Corpus,3,0.01,0.31,-5.382732075452054
100% Corpus,3,0.01,0.61,-5.182664081038326
100% Corpus,3,0.01,0.9099999999999999,-5.43075388695789
100% Corpus,3,0.01,symmetric,-5.5207743507279075
100% Corpus,3,0.31,0.01,-5.382123365445451
100% Corpus,3,0.31,0.31,-5.616114453099198
100% Corpus,3,0.31,0.61,-5.187324145313478
100% Corpus,3,0.31,0.9099999999999999,-5.530500725884372
100% Corpus,3,0.31,symmetric,-5.700773817529144
100% Corpus,3,0.61,0.01,-5.581337671615686
100% Corpus,3,0.61,0.31,-5.685179651150069
100% Corpus,3,0.61,0.61,-5.681434504537234
100% Corpus,3,0.61,0.9099999999999999,-5.211657168079384
100% Corpus,3,0.61,symmetric,-5.070565415783524
100% Corpus,3,0.9099999999999999,0.01,-5.743864133209968
100% Corpus,3,0.9099999999999999,0.31,-5.733679228327017
100% Corpus,3,0.9099999999999999,0.61,-5.481447803888325
100% Corpus,3,0.9099999999999999,0.9099999999999999,-5.579732176524757
100% Corpus,3,0.9099999999999999,symmetric,-6.052582580300836
100% Corpus,3,symmetric,0.01,-5.414094300459294
100% Corpus,3,symmetric,0.31,-5.7269382658724695
100% Corpus,3,symmetric,0.61,-5.388750064258521
100% Corpus,3,symmetric,0.9099999999999999,-5.242052642412852
100% Corpus,3,symmetric,symmetric,-5.594105195419874
100% Corpus,3,asymmetric,0.01,-6.25354495423381
100% Corpus,3,asymmetric,0.31,-6.960548632523341
100% Corpus,3,asymmetric,0.61,-7.119365257040375
100% Corpus,3,asymmetric,0.9099999999999999,-7.84823316660708
100% Corpus,3,asymmetric,symmetric,-8.109043831400953
100% Corpus,4,0.01,0.01,-5.424997209617337
100% Corpus,4,0.01,0.31,-5.6720977102282415
100% Corpus,4,0.01,0.61,-5.191655758896919
100% Corpus,4,0.01,0.9099999999999999,-5.818947911639471
100% Corpus,4,0.01,symmetric,-5.650904686655895
100% Corpus,4,0.31,0.01,-5.571377963251152
100% Corpus,4,0.31,0.31,-6.119738383789046
100% Corpus,4,0.31,0.61,-5.701974761503236
100% Corpus,4,0.31,0.9099999999999999,-5.779295286425123
100% Corpus,4,0.31,symmetric,-6.13060399711094
100% Corpus,4,0.61,0.01,-5.803797588740163
100% Corpus,4,0.61,0.31,-5.4181092662133885
100% Corpus,4,0.61,0.61,-5.4168790895513705
100% Corpus,4,0.61,0.9099999999999999,-5.698115936728151
100% Corpus,4,0.61,symmetric,-5.498921468674416
100% Corpus,4,0.9099999999999999,0.01,-6.033337492198293
100% Corpus,4,0.9099999999999999,0.31,-5.7678750254023194
100% Corpus,4,0.9099999999999999,0.61,-5.569344869657191
100% Corpus,4,0.9099999999999999,0.9099999999999999,-5.726140567835879
100% Corpus,4,0.9099999999999999,symmetric,-5.852660104737213
100% Corpus,4,symmetric,0.01,-6.547061048844941
100% Corpus,4,symmetric,0.31,-5.905838371178747
100% Corpus,4,symmetric,0.61,-5.732053201387841
100% Corpus,4,symmetric,0.9099999999999999,-5.9312840614139875
100% Corpus,4,symmetric,symmetric,-6.1817530366324815
100% Corpus,4,asymmetric,0.01,-6.314944185542531
100% Corpus,4,asymmetric,0.31,-8.964365783885926
100% Corpus,4,asymmetric,0.61,-7.552786167104369
100% Corpus,4,asymmetric,0.9099999999999999,-8.597879504749008
100% Corpus,4,asymmetric,symmetric,-7.487398155933521
100% Corpus,5,0.01,0.01,-6.414165582646295
100% Corpus,5,0.01,0.31,-6.226696763762417
100% Corpus,5,0.01,0.61,-5.710583937756195
100% Corpus,5,0.01,0.9099999999999999,-5.62023464143912
100% Corpus,5,0.01,symmetric,-5.860728131111693
100% Corpus,5,0.31,0.01,-6.2094873527128085
100% Corpus,5,0.31,0.31,-6.4987583392388135
100% Corpus,5,0.31,0.61,-5.863063927594014
100% Corpus,5,0.31,0.9099999999999999,-6.145758317087815
100% Corpus,5,0.31,symmetric,-6.006476262192846
100% Corpus,5,0.61,0.01,-6.16091917839413
100% Corpus,5,0.61,0.31,-6.656692159091911
100% Corpus,5,0.61,0.61,-6.4780935365332155
100% Corpus,5,0.61,0.9099999999999999,-5.935933338630776
100% Corpus,5,0.61,symmetric,-6.154321002334719
100% Corpus,5,0.9099999999999999,0.01,-6.123188906832522
100% Corpus,5,0.9099999999999999,0.31,-5.927860577568024
100% Corpus,5,0.9099999999999999,0.61,-5.634917481803623
100% Corpus,5,0.9099999999999999,0.9099999999999999,-5.535923399955182
100% Corpus,5,0.9099999999999999,symmetric,-5.53399394957099
100% Corpus,5,symmetric,0.01,-6.425078257906781
100% Corpus,5,symmetric,0.31,-6.370418015671021
100% Corpus,5,symmetric,0.61,-6.299895323629089
100% Corpus,5,symmetric,0.9099999999999999,-6.308677974004754
100% Corpus,5,symmetric,symmetric,-6.776528218965095
100% Corpus,5,asymmetric,0.01,-7.086616620443982
100% Corpus,5,asymmetric,0.31,-10.484599574243623
100% Corpus,5,asymmetric,0.61,-9.959322750359672
100% Corpus,5,asymmetric,0.9099999999999999,-8.83229761828676
100% Corpus,5,asymmetric,symmetric,-9.04061662020856
100% Corpus,6,0.01,0.01,-6.817795297000128
100% Corpus,6,0.01,0.31,-6.561753131304322
100% Corpus,6,0.01,0.61,-6.213445857692485
100% Corpus,6,0.01,0.9099999999999999,-6.245344296620938
100% Corpus,6,0.01,symmetric,-6.315475018314622
100% Corpus,6,0.31,0.01,-6.518056123646151
100% Corpus,6,0.31,0.31,-6.4081701707856356
100% Corpus,6,0.31,0.61,-6.41002539662566
100% Corpus,6,0.31,0.9099999999999999,-6.641591444046732
100% Corpus,6,0.31,symmetric,-6.51567537218131
100% Corpus,6,0.61,0.01,-6.510015869571049
100% Corpus,6,0.61,0.31,-6.603722135683525
100% Corpus,6,0.61,0.61,-6.210234833695165
100% Corpus,6,0.61,0.9099999999999999,-6.1272996162836515
100% Corpus,6,0.61,symmetric,-6.349811176700244
100% Corpus,6,0.9099999999999999,0.01,-5.81829388542383
100% Corpus,6,0.9099999999999999,0.31,-5.381066253130218
100% Corpus,6,0.9099999999999999,0.61,-5.359668502286926
100% Corpus,6,0.9099999999999999,0.9099999999999999,-5.390055456321388
100% Corpus,6,0.9099999999999999,symmetric,-5.642026565652728
100% Corpus,6,symmetric,0.01,-6.862010012008898
100% Corpus,6,symmetric,0.31,-7.00530808828109
100% Corpus,6,symmetric,0.61,-6.738087524510486
100% Corpus,6,symmetric,0.9099999999999999,-6.616587197832828
100% Corpus,6,symmetric,symmetric,-7.4840489357633295
100% Corpus,6,asymmetric,0.01,-8.026469376583389
100% Corpus,6,asymmetric,0.31,-9.03412689414976
100% Corpus,6,asymmetric,0.61,-10.39084402017389
100% Corpus,6,asymmetric,0.9099999999999999,-9.889511411552524
100% Corpus,6,asymmetric,symmetric,-9.644457904273777
100% Corpus,7,0.01,0.01,-6.90752364806071
100% Corpus,7,0.01,0.31,-6.603566345723841
100% Corpus,7,0.01,0.61,-6.4705251239058175
100% Corpus,7,0.01,0.9099999999999999,-6.194970859495074
100% Corpus,7,0.01,symmetric,-6.529997296069261
100% Corpus,7,0.31,0.01,-6.910816622288796
100% Corpus,7,0.31,0.31,-7.159396458364674
100% Corpus,7,0.31,0.61,-6.94775152024478
100% Corpus,7,0.31,0.9099999999999999,-6.918492697105785
100% Corpus,7,0.31,symmetric,-6.727157654628266
100% Corpus,7,0.61,0.01,-6.603968773001823
100% Corpus,7,0.61,0.31,-6.761735518121941
100% Corpus,7,0.61,0.61,-6.267856316427271
100% Corpus,7,0.61,0.9099999999999999,-5.967413623026205
100% Corpus,7,0.61,symmetric,-6.675827813307476
100% Corpus,7,0.9099999999999999,0.01,-5.964163761427124
100% Corpus,7,0.9099999999999999,0.31,-5.650554527577647
100% Corpus,7,0.9099999999999999,0.61,-5.344813534017414
100% Corpus,7,0.9099999999999999,0.9099999999999999,-5.264097745216968
100% Corpus,7,0.9099999999999999,symmetric,-5.7449202468331535
100% Corpus,7,symmetric,0.01,-6.500136683355582
100% Corpus,7,symmetric,0.31,-7.179400992137086
100% Corpus,7,symmetric,0.61,-7.059056268551813
100% Corpus,7,symmetric,0.9099999999999999,-7.1830560607214995
100% Corpus,7,symmetric,symmetric,-6.877167210487736
100% Corpus,7,asymmetric,0.01,-7.190487580172352
100% Corpus,7,asymmetric,0.31,-11.49117664659317
100% Corpus,7,asymmetric,0.61,-10.49138073122444
100% Corpus,7,asymmetric,0.9099999999999999,-10.238931603785536
100% Corpus,7,asymmetric,symmetric,-9.419967516150136
100% Corpus,8,0.01,0.01,-7.517659011551104
100% Corpus,8,0.01,0.31,-7.070737874302812
100% Corpus,8,0.01,0.61,-6.980240830599641
100% Corpus,8,0.01,0.9099999999999999,-6.394208539102651
100% Corpus,8,0.01,symmetric,-7.193957903785035
100% Corpus,8,0.31,0.01,-6.385714299073414
100% Corpus,8,0.31,0.31,-6.812032220107897
100% Corpus,8,0.31,0.61,-6.564129280566235
100% Corpus,8,0.31,0.9099999999999999,-7.0004419126013975
100% Corpus,8,0.31,symmetric,-6.800777780443981
100% Corpus,8,0.61,0.01,-6.747150435579304
100% Corpus,8,0.61,0.31,-6.594260637998179
100% Corpus,8,0.61,0.61,-6.089431291758925
100% Corpus,8,0.61,0.9099999999999999,-5.771351954715228
100% Corpus,8,0.61,symmetric,-7.001012289400184
100% Corpus,8,0.9099999999999999,0.01,-5.652492421299982
100% Corpus,8,0.9099999999999999,0.31,-5.313773882453427
100% Corpus,8,0.9099999999999999,0.61,-5.418623985175212
100% Corpus,8,0.9099999999999999,0.9099999999999999,-5.3570119015553885
100% Corpus,8,0.9099999999999999,symmetric,-5.821428717521095
100% Corpus,8,symmetric,0.01,-6.939804774860871
100% Corpus,8,symmetric,0.31,-7.707695666683187
100% Corpus,8,symmetric,0.61,-6.755393098823841
100% Corpus,8,symmetric,0.9099999999999999,-7.528200586305299
100% Corpus,8,symmetric,symmetric,-7.636555025239559
100% Corpus,8,asymmetric,0.01,-7.235991774972965
100% Corpus,8,asymmetric,0.31,-10.650675081301673
100% Corpus,8,asymmetric,0.61,-11.20100806259022
100% Corpus,8,asymmetric,0.9099999999999999,-11.081729784768248
100% Corpus,8,asymmetric,symmetric,-9.34620916026076
100% Corpus,9,0.01,0.01,-7.485727734477062
100% Corpus,9,0.01,0.31,-7.034624333190635
100% Corpus,9,0.01,0.61,-7.212973041021393
100% Corpus,9,0.01,0.9099999999999999,-6.481137358578269
100% Corpus,9,0.01,symmetric,-7.71726250137642
100% Corpus,9,0.31,0.01,-6.6380028978203915
100% Corpus,9,0.31,0.31,-7.088136699014086
100% Corpus,9,0.31,0.61,-6.904860573149357
100% Corpus,9,0.31,0.9099999999999999,-6.858674348342562
100% Corpus,9,0.31,symmetric,-7.152065300925265
100% Corpus,9,0.61,0.01,-6.92953994114085
100% Corpus,9,0.61,0.31,-6.3506426737237485
100% Corpus,9,0.61,0.61,-5.860890898280745
100% Corpus,9,0.61,0.9099999999999999,-5.771995110487466
100% Corpus,9,0.61,symmetric,-6.9177936963039395
100% Corpus,9,0.9099999999999999,0.01,-5.806480248916182
100% Corpus,9,0.9099999999999999,0.31,-5.340694324284824
100% Corpus,9,0.9099999999999999,0.61,-5.3307406493490825
100% Corpus,9,0.9099999999999999,0.9099999999999999,-5.48713586368935
100% Corpus,9,0.9099999999999999,symmetric,-5.686090789178659
100% Corpus,9,symmetric,0.01,-7.539332653997331
100% Corpus,9,symmetric,0.31,-8.166844353533854
100% Corpus,9,symmetric,0.61,-7.601223178469267
100% Corpus,9,symmetric,0.9099999999999999,-7.002332592260193
100% Corpus,9,symmetric,symmetric,-8.410719161466366
100% Corpus,9,asymmetric,0.01,-7.658385265704703
100% Corpus,9,asymmetric,0.31,-10.267218636646172
100% Corpus,9,asymmetric,0.61,-10.378699998159366
100% Corpus,9,asymmetric,0.9099999999999999,-10.3904968972804
100% Corpus,9,asymmetric,symmetric,-8.9794397985789
100% Corpus,10,0.01,0.01,-7.477218510313546
100% Corpus,10,0.01,0.31,-7.577156044320665
100% Corpus,10,0.01,0.61,-7.612393970933548
100% Corpus,10,0.01,0.9099999999999999,-7.668865901632303
100% Corpus,10,0.01,symmetric,-7.852166196894506
100% Corpus,10,0.31,0.01,-6.932844828635412
100% Corpus,10,0.31,0.31,-7.044715608789245
100% Corpus,10,0.31,0.61,-7.092807562145111
100% Corpus,10,0.31,0.9099999999999999,-6.894441993844057
100% Corpus,10,0.31,symmetric,-6.795418347524394
100% Corpus,10,0.61,0.01,-6.963676041601575
100% Corpus,10,0.61,0.31,-6.344164951078422
100% Corpus,10,0.61,0.61,-5.675713940559094
100% Corpus,10,0.61,0.9099999999999999,-5.513609972943159
100% Corpus,10,0.61,symmetric,-6.86842037885601
100% Corpus,10,0.9099999999999999,0.01,-5.8374231534268874
100% Corpus,10,0.9099999999999999,0.31,-5.376838219640082
100% Corpus,10,0.9099999999999999,0.61,-5.468153481010235
100% Corpus,10,0.9099999999999999,0.9099999999999999,-5.435527230275822
100% Corpus,10,0.9099999999999999,symmetric,-5.780207266775103
100% Corpus,10,symmetric,0.01,-7.825354126112819
100% Corpus,10,symmetric,0.31,-8.376275134157478
100% Corpus,10,symmetric,0.61,-8.26134106119468
100% Corpus,10,symmetric,0.9099999999999999,-7.55356592379577
100% Corpus,10,symmetric,symmetric,-8.307767836864478
100% Corpus,10,asymmetric,0.01,-7.7064133168959446
100% Corpus,10,asymmetric,0.31,-9.809369015003423
100% Corpus,10,asymmetric,0.61,-11.411678282222937
100% Corpus,10,asymmetric,0.9099999999999999,-10.333242399227506
100% Corpus,10,asymmetric,symmetric,-9.199779559374184
